date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2021-11-16,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-16 [archive import: scored retroactively, not a live reading]",2021-11-16,scoring
2021-11-17,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-17 [archive import: scored retroactively, not a live reading]",2021-11-17,scoring
2021-11-18,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-18 [archive import: scored retroactively, not a live reading]",2021-11-18,scoring
2021-11-19,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-19 [archive import: scored retroactively, not a live reading]",2021-11-19,scoring
2021-11-22,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-22 [archive import: scored retroactively, not a live reading]",2021-11-22,scoring
2021-11-23,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-23 [archive import: scored retroactively, not a live reading]",2021-11-23,scoring
2021-11-24,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-24 [archive import: scored retroactively, not a live reading]",2021-11-24,scoring
2021-11-26,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-26 [archive import: scored retroactively, not a live reading]",2021-11-26,scoring
2021-11-29,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-29 [archive import: scored retroactively, not a live reading]",2021-11-29,scoring
2021-11-30,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-11-30 [archive import: scored retroactively, not a live reading]",2021-11-30,scoring
2021-12-01,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-01 [archive import: scored retroactively, not a live reading]",2021-12-01,scoring
2021-12-02,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-02 [archive import: scored retroactively, not a live reading]",2021-12-02,scoring
2021-12-03,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-03 [archive import: scored retroactively, not a live reading]",2021-12-03,scoring
2021-12-06,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-06 [archive import: scored retroactively, not a live reading]",2021-12-06,scoring
2021-12-07,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-07 [archive import: scored retroactively, not a live reading]",2021-12-07,scoring
2021-12-08,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2021-12-08 [archive import: scored retroactively, not a live reading]",2021-12-08,scoring
2021-12-09,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-09 [archive import: scored retroactively, not a live reading]",2021-12-09,scoring
2021-12-10,3,0.000,0,up,"NY Fed SRF total accepted 3.0$m on 2021-12-10 [archive import: scored retroactively, not a live reading]",2021-12-10,scoring
2021-12-13,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-13 [archive import: scored retroactively, not a live reading]",2021-12-13,scoring
2021-12-14,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-14 [archive import: scored retroactively, not a live reading]",2021-12-14,scoring
2021-12-15,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-15 [archive import: scored retroactively, not a live reading]",2021-12-15,scoring
2021-12-16,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-16 [archive import: scored retroactively, not a live reading]",2021-12-16,scoring
2021-12-17,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-17 [archive import: scored retroactively, not a live reading]",2021-12-17,scoring
2021-12-20,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-20 [archive import: scored retroactively, not a live reading]",2021-12-20,scoring
2021-12-21,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-21 [archive import: scored retroactively, not a live reading]",2021-12-21,scoring
2021-12-22,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-22 [archive import: scored retroactively, not a live reading]",2021-12-22,scoring
