date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2021-01-29,2.6,0.104,0,up,"Bitstamp settled daily close, worst 2.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-29,scoring
2021-01-30,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-30,scoring
2021-01-31,0.8,0.032,0,up,"Bitstamp settled daily close, worst 0.8bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-31,scoring
2021-02-01,0.2,0.008,0,up,"Bitstamp settled daily close, worst 0.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-01,scoring
2021-02-02,1.6,0.064,0,up,"Bitstamp settled daily close, worst 1.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-02,scoring
2021-02-03,3.9,0.156,0,up,"Bitstamp settled daily close, worst 3.9bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-03,scoring
2021-02-04,1.8,0.072,0,up,"Bitstamp settled daily close, worst 1.8bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-04,scoring
2021-02-05,4.8,0.192,0,up,"Bitstamp settled daily close, worst 4.8bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-05,scoring
2021-02-06,4.7,0.188,0,up,"Bitstamp settled daily close, worst 4.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-06,scoring
2021-02-07,4.3,0.172,0,up,"Bitstamp settled daily close, worst 4.3bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-07,scoring
2021-02-08,1.4,0.056,0,up,"Bitstamp settled daily close, worst 1.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-08,scoring
2021-02-09,1.2,0.048,0,up,"Bitstamp settled daily close, worst 1.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-09,scoring
2021-02-10,9.8,0.392,0,up,"Bitstamp settled daily close, worst 9.8bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-10,scoring
2021-02-11,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-11,scoring
2021-02-12,0.2,0.008,0,up,"Bitstamp settled daily close, worst 0.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-12,scoring
2021-02-13,3.8,0.152,0,up,"Bitstamp settled daily close, worst 3.8bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-13,scoring
2021-02-14,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-14,scoring
2021-02-15,0.6,0.024,0,up,"Bitstamp settled daily close, worst 0.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-15,scoring
2021-02-16,1,0.040,0,up,"Bitstamp settled daily close, worst 1.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-16,scoring
2021-02-17,0.4,0.016,0,up,"Bitstamp settled daily close, worst 0.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-17,scoring
2021-02-18,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-18,scoring
2021-02-19,8.4,0.336,0,up,"Bitstamp settled daily close, worst 8.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-19,scoring
2021-02-20,0.6,0.024,0,up,"Bitstamp settled daily close, worst 0.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-20,scoring
2021-02-21,8.4,0.336,0,up,"Bitstamp settled daily close, worst 8.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-21,scoring
2021-02-22,0.3,0.012,0,up,"Bitstamp settled daily close, worst 0.3bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-22,scoring
2021-02-23,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-23,scoring
2021-02-24,0.2,0.008,0,up,"Bitstamp settled daily close, worst 0.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-24,scoring
2021-02-25,0.4,0.016,0,up,"Bitstamp settled daily close, worst 0.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-25,scoring
2021-02-26,0.5,0.020,0,up,"Bitstamp settled daily close, worst 0.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-26,scoring
2021-02-27,1.1,0.044,0,up,"Bitstamp settled daily close, worst 1.1bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-27,scoring
2021-02-28,1,0.040,0,up,"Bitstamp settled daily close, worst 1.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-02-28,scoring
2021-03-01,1.9,0.076,0,up,"Bitstamp settled daily close, worst 1.9bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-01,scoring
2021-03-02,1.7,0.068,0,up,"Bitstamp settled daily close, worst 1.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-02,scoring
2021-03-03,1.7,0.068,0,up,"Bitstamp settled daily close, worst 1.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-03,scoring
2021-03-04,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-04,scoring
2021-03-05,0.5,0.020,0,up,"Bitstamp settled daily close, worst 0.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-05,scoring
2021-03-06,0.6,0.024,0,up,"Bitstamp settled daily close, worst 0.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-06,scoring
2021-03-07,0.6,0.024,0,up,"Bitstamp settled daily close, worst 0.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-07,scoring
2021-03-08,1,0.040,0,up,"Bitstamp settled daily close, worst 1.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-08,scoring
