date,component,value
2026-01-13,Bohai Strait,198
2026-01-13,Bosporus Strait,88
2026-01-13,Cape of Good Hope,89
2026-01-13,Dover Strait,159
2026-01-13,Gibraltar Strait,99
2026-01-13,Kerch Strait,9
2026-01-13,Korea Strait,183
2026-01-13,Lombok Strait,25
2026-01-13,Luzon Strait,75
2026-01-13,Magellan Strait,6
2026-01-13,Makassar Strait,59
2026-01-13,Malacca Strait,265
2026-01-13,Mindoro Strait,37
2026-01-13,Mona Passage,7
2026-01-13,Ombai Strait,8
2026-01-13,Oresund Strait,44
2026-01-13,Panama Canal,34
2026-01-13,Strait of Hormuz,72
2026-01-13,Suez Canal,34
2026-01-13,Sunda Strait,38
2026-01-13,Taiwan Strait,228
2026-01-13,Torres Strait,7
2026-01-13,Tsugaru Strait,18
2026-01-13,Windward Passage,12
2026-01-13,Yucatan Channel,51
2026-01-14,Bab el-Mandeb Strait,23
2026-01-14,Balabac Strait,13
2026-01-14,Bering Strait,0
2026-01-14,Bohai Strait,179
2026-01-14,Bosporus Strait,96
2026-01-14,Cape of Good Hope,84
2026-01-14,Dover Strait,151
2026-01-14,Gibraltar Strait,120
2026-01-14,Kerch Strait,19
2026-01-14,Korea Strait,204
2026-01-14,Lombok Strait,40
2026-01-14,Luzon Strait,67
2026-01-14,Magellan Strait,6
2026-01-14,Makassar Strait,45
2026-01-14,Malacca Strait,231
2026-01-14,Mindoro Strait,36
2026-01-14,Mona Passage,12
2026-01-14,Ombai Strait,8
2026-01-14,Oresund Strait,50
2026-01-14,Panama Canal,32
2026-01-14,Strait of Hormuz,73
2026-01-14,Suez Canal,27
2026-01-14,Sunda Strait,41
2026-01-14,Taiwan Strait,241
2026-01-14,Torres Strait,12
2026-01-14,Tsugaru Strait,16
2026-01-14,Windward Passage,16
2026-01-14,Yucatan Channel,51
2026-01-15,Bab el-Mandeb Strait,39
2026-01-15,Balabac Strait,4
2026-01-15,Bering Strait,0
2026-01-15,Bohai Strait,183
2026-01-15,Bosporus Strait,75
2026-01-15,Cape of Good Hope,97
2026-01-15,Dover Strait,175
2026-01-15,Gibraltar Strait,164
2026-01-15,Kerch Strait,13
2026-01-15,Korea Strait,204
2026-01-15,Lombok Strait,46
2026-01-15,Luzon Strait,77
2026-01-15,Magellan Strait,2
2026-01-15,Makassar Strait,57
2026-01-15,Malacca Strait,236
2026-01-15,Mindoro Strait,35
2026-01-15,Mona Passage,12
