date,component,value
2026-09-13,BG,1.001
2026-09-13,BH,0.9994
2026-09-13,BJ,1
2026-09-13,BN,1.0111
2026-09-13,BO,0.9949
2026-09-13,BR,1.0232
2026-09-13,BS,1
2026-09-13,BW,1
2026-09-13,BY,0.9997
2026-09-13,CA,0.9994
2026-09-13,CG,1
2026-09-13,CH,1.0007
2026-09-13,CI,1.0031
2026-09-13,CL,1.0173
2026-09-13,CM,0.9995
2026-09-13,CN,1.0003
2026-09-13,CO,0.9958
2026-09-13,CR,1
2026-09-13,CU,1
2026-09-13,CW,1
2026-09-13,CY,1
2026-09-13,CZ,1
2026-09-13,DE,1
2026-09-13,DK,1.0002
2026-09-13,DO,0.9993
2026-09-13,DZ,1
2026-09-13,EC,1.0007
2026-09-13,EE,0.9994
2026-09-13,EG,1
2026-09-13,ES,1.0017
2026-09-13,ET,1
2026-09-13,FI,0.9982
2026-09-13,FJ,1
2026-09-13,FR,1
2026-09-13,GA,0.9967
2026-09-13,GB,0.9947
2026-09-13,GE,1.0024
2026-09-13,GH,0.9996
2026-09-13,GM,1
2026-09-13,GP,1
2026-09-13,GR,0.9976
2026-09-13,GT,1.0005
2026-09-13,GU,1
2026-09-13,HK,1.0025
2026-09-13,HN,0.9995
2026-09-13,HR,1.0001
2026-09-13,HT,1
2026-09-13,HU,0.9997
2026-09-13,ID,0.9991
2026-09-13,IE,1.0002
2026-09-13,IL,1.004
2026-09-13,IN,0.997
2026-09-13,IQ,0.997
2026-09-13,IR,1.0009
2026-09-13,IS,0.9997
2026-09-13,IT,0.9967
2026-09-13,JM,0.9992
2026-09-13,JO,1.0012
2026-09-13,JP,0.999
2026-09-13,KE,0.9995
2026-09-13,KG,0.9982
2026-09-13,KH,0.9992
2026-09-13,KR,1.0002
2026-09-13,KW,0.9996
2026-09-13,KZ,1.0077
2026-09-13,LB,1.0003
2026-09-13,LK,1.0009
2026-09-13,LS,1
2026-09-13,LT,0.9998
2026-09-13,LU,0.9996
2026-09-13,LV,0.9992
2026-09-13,LY,0.9995
2026-09-13,MA,1
2026-09-13,MD,1.0002
2026-09-13,ME,1
2026-09-13,MG,0.9996
2026-09-13,MK,1
2026-09-13,MM,0.997
2026-09-13,MN,0.9986
2026-09-13,MO,0.9997
2026-09-13,MQ,1
2026-09-13,MT,1
2026-09-13,MU,0.9995
2026-09-13,MW,0.9998
2026-09-13,MX,0.9982
2026-09-13,MY,1.0004
2026-09-13,MZ,0.9979
2026-09-13,NA,1
2026-09-13,NC,1
2026-09-13,NG,0.9861
2026-09-13,NI,1
2026-09-13,NL,1.0017
2026-09-13,NO,1
2026-09-13,NP,1.0012
2026-09-13,NZ,0.9953
2026-09-13,OM,0.9915
2026-09-13,PA,0.9988
2026-09-13,PE,0.9993
2026-09-13,PH,1.0011
2026-09-13,PK,1
2026-09-13,PL,0.9999
2026-09-13,PR,0.9999
2026-09-13,PS,0.9974
2026-09-13,PT,1.0001
2026-09-13,PY,0.9994
2026-09-13,QA,1
2026-09-13,RE,1
2026-09-13,RO,0.9999
2026-09-13,RS,0.9985
2026-09-13,RU,0.9997
2026-09-13,RW,0.9979
2026-09-13,SA,1
2026-09-13,SC,1
2026-09-13,SD,1
2026-09-13,SE,1.0001
2026-09-13,SG,1.0023
2026-09-13,SI,1
2026-09-13,SK,1
2026-09-13,SN,0.9994
2026-09-13,SV,1.0004
2026-09-13,SY,0.9719
2026-09-13,TG,1.0018
2026-09-13,TH,0.9995
2026-09-13,TN,1
2026-09-13,TR,0.9999
2026-09-13,TT,1
2026-09-13,TW,1
2026-09-13,TZ,0.9999
2026-09-13,UA,0.9967
2026-09-13,UG,0.9987
2026-09-13,US,1
2026-09-13,UY,1.0002
2026-09-13,UZ,1.0007
2026-09-13,VE,0.985
2026-09-13,VI,1
2026-09-13,VN,1
2026-09-13,YE,1
2026-09-13,ZA,0.9983
2026-09-13,ZM,1
2026-09-13,ZW,0.9969
2026-09-14,AE,0.9999
2026-09-14,AF,0.9936
2026-09-14,AL,0.9983
2026-09-14,AM,0.9955
2026-09-14,AO,1.0002
2026-09-14,AR,1
2026-09-14,AT,1.0002
2026-09-14,AU,0.9979
2026-09-14,AZ,1.0311
2026-09-14,BA,1
2026-09-14,BD,0.9976
2026-09-14,BE,1.0002
2026-09-14,BF,1.0009
2026-09-14,BG,1.0008
2026-09-14,BH,0.9994
2026-09-14,BJ,0.9996
2026-09-14,BN,1.0092
2026-09-14,BO,0.9949
2026-09-14,BR,1.0233
2026-09-14,BS,1
2026-09-14,BW,1
2026-09-14,BY,0.9987
2026-09-14,CA,0.9997
2026-09-14,CG,0.9959
2026-09-14,CH,1.0007
2026-09-14,CI,1.0031
2026-09-14,CL,1.009
2026-09-14,CM,0.9994
2026-09-14,CN,1.0004
2026-09-14,CO,0.9982
2026-09-14,CR,0.9999
2026-09-14,CU,1
2026-09-14,CW,1
2026-09-14,CY,0.9977
2026-09-14,CZ,0.9998
2026-09-14,DE,0.9999
2026-09-14,DK,1.0003
2026-09-14,DO,0.9993
2026-09-14,DZ,1
2026-09-14,EC,1.0006
2026-09-14,EE,0.9995
2026-09-14,EG,0.9951
2026-09-14,ES,1.0019
2026-09-14,ET,0.9908
2026-09-14,FI,0.9983
2026-09-14,FJ,1
2026-09-14,FR,1
2026-09-14,GA,0.9995
2026-09-14,GB,0.9948
2026-09-14,GE,1.0022
2026-09-14,GH,0.9997
2026-09-14,GM,0.9998
2026-09-14,GP,1
2026-09-14,GR,0.9975
2026-09-14,GT,1.0007
2026-09-14,GU,1
2026-09-14,HK,0.9987
2026-09-14,HN,0.9993
2026-09-14,HR,1.0001
2026-09-14,HT,1
2026-09-14,HU,0.9997
